company,website,fonts
youtube, https://youtube.com, 'Roboto;Arial;sans-serif'
google, https://google.com, 'arial;sans-serif'
gmail, https://gmail.com, arial;sans-serif;Product Sans'
google drive, https://drive.google.com, 'arial;sans-serif'
twitter, https://twitter.com, 'TwitterChirp;-apple-system;BlinkMacSystemFont;Segoe UI;Roboto;Helvetica;Arial;sans-serif'
microsoft, https://microsoft.com, 'Segoe UI;SegoeUI;Helvetica Neue;Helvetica;Arial;sans-serif'
amazon, https://amazon.com, 'Arial;sans-serif'
facebook, https://facebook.com, 'system-ui;-apple-system;BlinkMacSystemFont;.SFNSText-Regular;sans-serif'
instagram, https://instagram.com, '-apple-system;BlinkMacSystemFont;Segoe UI;Roboto;Helvetica;Arial;sans-serif'
messenger, https://messenger.com, 'Helvetica;Arial;sans-serif'
whatsapp, https://whatsapp.com, 'Helvetica;Arial;sans-serif'
twitch, https://twitch.tv, 'Inter;Roobert;Helvetica Neue;Helvetica;Arial;sans-serif'
tiktok, https://tiktok.com, 'ProximaNova;Arial;Tahoma;PingFangSC;sans-serif'
apple, https://apple.com, 'SF Pro Text;SF Pro Icons;Helvetica Neue;Helvetica;Arial;sans-serif'
zoom, https://zoom.us/, 'Almaden Sans;Helvetica;Arial'
cash app, https://cash.app/, 'cash-market-rounded;Helvetica Neue;helvetica;sans-serif'
netflix, https://netflix.com, 'Netflix Sans;Helvetica Neue;Segoe UI;Roboto;Ubuntu;sans-serif'
discord, https://discord.com, 'gg sans;Noto Sans;Helvetica Neue;Helvetica;Arial;sans-serif'
shopify, https://shopify.com, 'ShopifySans;Helvetica;Arial;Lucida Grande;sans-serif'
uber, https://uber.com, 'UberMove;UberMoveText;system-ui;Helvetica Neue;Helvetica;Arial;sans-serif'
paypal, https://paypal.com, 'PayPalOpen-Regular;Helvetica Neue;Arial;sans-serif'